code,name,year,split_date,split_type,raw_text,split_ratio
159928,消费ETF,2021年,2021-06-24,份额分拆,1:4.0000,4.0
510300,沪深300ETF,2012年,2012-05-11,份额折算,1:0.3709,0.3709
510500,中证500ETF,2022年,2022-08-26,份额分拆,1:1.1454,1.1454
510500,中证500ETF,2015年,2015-04-14,份额折算,1:0.2803,0.2803
510880,红利ETF,2007年,2007-01-10,份额折算,1:0.6553,0.6553
511260,十年国债ETF,2017年,2017-08-04,份额折算,1:0.0100,0.01
512010,医药ETF,2021年,2021-06-25,份额分拆,1:4.0000,4.0
512200,房地产ETF,2024年,2024-08-09,份额折算,1:0.3581,0.3581
512480,半导体ETF,2026年,2026-07-02,份额分拆,1:2.0000,2.0
512480,半导体ETF,2021年,2021-03-26,份额分拆,1:2.0000,2.0
512690,酒ETF,2021年,2021-05-14,份额分拆,1:2.0000,2.0
512800,银行ETF,2025年,2025-07-04,份额分拆,1:2.0000,2.0
512890,红利低波ETF,2021年,2021-10-22,份额分拆,1:2.0000,2.0
513100,纳指ETF,2022年,2022-01-13,份额分拆,1:5.0000,5.0
513500,标普500ETF,2022年,2022-03-29,份额分拆,1:2.0000,2.0
515000,科技ETF,2025年,2025-09-05,份额分拆,1:2.0000,2.0
515050,5G通信ETF,2026年,2026-05-12,份额分拆,1:3.0000,3.0
515220,煤炭ETF,2024年,2024-04-11,份额分拆,1:2.0000,2.0
518880,黄金ETF,2013年,2013-07-24,份额折算,1:0.3776,0.3776
